compl_total1,compl_total2,compl_total3,compl_total4,compl_total5,compl_total6,compl_total7,compl_total8,compl_total9,compl_total10,compl_total11,compl_total12,compl_total13,compl_total14,compl_total15,compl_total16,compl_total17,compl_total18,compl_total19,compl_total20,compl_total21,compl_total22,compl_total23,compl_total24,compl_total25,compl_total26,compl_total27,compl_total28,compl_total29,compl_total30,compl_total31,compl_total32,compl_total33,compl_total34,compl_total35,compl_total36,compl_total37,compl_total38,compl_total39,compl_total40,compl_total41,compl_total42,compl_total43,compl_total44,compl_total45_1,compl_total45_2,compl_total45_3,compl_total45_4,compl_total45_5,compl_total45_6,compl_total45_7,compl_total45_8,compl_total46_1,compl_total46_2,compl_total46_3,compl_total46_4,compl_total47,compl_total48,compl_total49,compl_total50
13,0.110833333333333,8,18.7097222222222,1,0.00686341798215511,0.0048286851535949,,0,0,0,,0.429068571428571,0.120598278541899,8,4.04694444444444,1,0.0277777777777778,1,0.106885245901639,24.7677136,,0.110833333333333,70.1388888888889,24,3.77777777777778,0.555555555555556,1.52777777777778,,85.25,11.9722222222222,2.77777777777778,0,0,,100,0,0,0,0,,0.558283101109745,0.311828703703704,,261,621,981,1281,1661,1921,2261,2501,401,761,981,1281,0,0,1,
13,0.118333333333333,8,18.8153846153846,1,0.0023848460070864,0.00353142645561418,,0,0,0,,0.370947523809524,0.116285905881313,8,4.07666666666667,1,0.00972222222222222,0.557377049180328,0.113907103825136,24.663122,,0.118333333333333,63.0833333333333,31.8055555555556,4.47222222222222,0.638888888888889,0,,88.3888888888889,10.8333333333333,0.777777777777778,0,0,,100,0,0,0,0,,0.35788472591815,0.313589743589744,,261,641,881,1141,1381,1761,2061,2301,362,722,1042,1302,0,0,1,
13,0.191111111111111,8,19.1384615384615,2,0.0278001071811361,0.0188195078086775,,0,0.125,0.0604838709677419,,0.619031257142857,0.140831526322116,8,4.14666666666667,2,0.115277777777778,1,0.183542805100185,24.3923704,,0.191111111111111,59.5277777777778,25.5277777777778,5.44444444444444,1.88888888888889,7.61111111111111,,75,15.6666666666667,7.33333333333333,2,0,,100,0,0,0,0,,0.814726105875694,0.318974358974359,,322,682,882,1202,1502,1782,2042,2342,202,582,782,1002,0,0,1,
13,0.133333333333333,8,18.7680555555556,1,0.00755909840571743,0.00461512013858584,,0,0,0,,0.435850726392252,0.121499694692471,8,4.04194444444444,1,0.0305555555555556,1,0.129385245901638,24.5097028,,0.133333333333333,64.3055555555556,27.6111111111111,4.36111111111111,1.33333333333333,2.38888888888889,,93.8055555555556,3.13888888888889,3.05555555555556,0,0,,100,0,0,0,0,,0.645424697997375,0.312800925925926,,221,421,821,1181,1541,1881,2241,2561,402,702,1062,1362,0,0,1,
13,0.400555555555556,9,19.8371794871795,2,0.08026885542558,0.0975076367675653,,0,0,0,,0.581029542857143,0.205615892084774,9,4.29805555555556,2,0.398888888888889,1,0.396607468123862,24.388123,,0.400555555555556,36.5555555555556,21.9166666666667,7.19444444444444,7.05555555555556,27.2777777777778,,48.6944444444444,26.7777777777778,21.8888888888889,2.63888888888889,0,,100,0,0,0,0,,0.786813507915477,0.330619658119658,,221,521,861,1081,1301,1541,1861,2081,341,661,881,1201,0,0,1,
13,0.216666666666667,8,19.1083333333333,1,0.0304812111381454,0.0202053662342471,,0,0.125,0.0198412698412698,,0.434919085714286,0.143475229811787,8,4.10972222222222,1,0.125277777777778,1,0.212718579234976,24.515705,,0.216666666666667,59.3333333333333,16.9444444444444,8.66666666666667,3.25,11.8055555555556,,79.5277777777778,7.94444444444444,12.5277777777778,0,0,,100,0,0,0,0,,0.819608436464564,0.318472222222222,,382,762,1062,1282,1582,1882,2282,2562,342,542,802,1102,0,0,1,
13,0.156944444444444,8,18.7611111111111,1,0.012171902624779,0.00981737877044736,,0,0,0,,0.415151071428571,0.126575073594891,8,4.08472222222222,1,0.0497222222222222,1,0.152996357012752,24.9878462,,0.156944444444444,60.9722222222222,26.6944444444444,4.5,4.36111111111111,3.47222222222222,,84.9444444444444,10.0833333333333,4.97222222222222,0,0,,100,0,0,0,0,,0.649813234282532,0.312685185185185,,302,542,882,1242,1462,1802,2142,2402,202,502,722,1122,0,0,1,
13,0.241944444444444,7,19.1166666666667,2,0.0409742313126556,0.0425496885785696,,0,0.142857142857143,0.032345013477089,,0.571849542857143,0.153852433664923,7,4.12833333333333,2,0.170833333333333,1,0.237996357012751,24.4876373,,0.241944444444444,51.3055555555556,25.7222222222222,8.16666666666667,3.11111111111111,11.6944444444444,,78.8055555555556,8.05555555555556,12.25,0.888888888888889,0,,100,0,0,0,0,,0.774091204554285,0.318611111111111,,401,741,1041,1441,1661,1881,2141,2501,242,562,782,1062,0,0,1,
13,0.139722222222222,8,18.9102564102564,2,0.0126101694915254,0.0163697914600442,,0,0,0,,0.63733125200642,0.126461556469268,8,4.09722222222222,2,0.0516666666666667,1,0.132445355191256,24.6792893,,0.139722222222222,64.7777777777778,28.25,2.80555555555556,1.11111111111111,3.05555555555556,,82.9444444444444,14.2222222222222,2.63888888888889,0.194444444444444,0,,100,0,0,0,0,,0.640029771122108,0.31517094017094,,281,641,861,1141,1521,1801,2081,2301,401,641,961,1241,0,0,1,
13,0.207777777777778,8,19.1416666666667,2,0.0346027708988689,0.03371980005554,,0,0.125,0.0336538461538462,,0.586563084415584,0.148099903841978,8,4.15,2,0.143611111111111,1,0.203829690346085,24.0183489,,0.207777777777778,56.5,25.8888888888889,5.08333333333333,2.69444444444444,9.83333333333333,,75,12.1111111111111,11.9722222222222,0.916666666666667,0,,100,0,0,0,0,,0.742197963407979,0.319027777777778,,381,761,1061,1281,1501,1801,2041,2441,302,542,882,1122,0,0,1,
