TT1,TT2,TT3,TT4,TT5,TT6,TT7,TT8,TT9,TT10,TT11,TT12
13,0.278055555555556,8,19.5358974358974,2,0.0517784486153038,0.054604541066635,,0,0.125,0.0364372469635627,
13,0.151944444444444,8,18.8638888888889,2,0.0198639455782313,0.0121398156596712,,0,0.25,0.0536684782608696,
13,0.373611111111111,8,19.7513888888889,3,0.0847936324539444,0.0841072585657423,,0,0.125,0.0574186991869919,
13,0.151111111111111,8,18.8027777777778,2,0.017284962765594,0.0124476005342432,,0,0,0,
13,0.11,8,18.6583333333333,1,0.000956741611426228,0.000809960196241785,,0,0,0,
13,0.268055555555556,8,19.5282051282051,2,0.0516675420168067,0.0764123061054468,,0,0.125,0.0047554347826087,
13,0.150277777777778,8,18.7680555555556,1,0.0136569535528362,0.0187447931130241,,0,0,0,
13,0.173888888888889,9,19.0615384615385,2,0.0234732311003497,0.0192439930707079,,0,0,0,
13,0.104166666666667,8,18.6583333333333,1,0.00192136142180745,0.00145792835323521,,0,0,0,
13,0.105,8,18.8153846153846,1,0.00143090760425184,0.00099046561140424,,0,0,0,
13,0.143055555555556,8,18.6583333333333,1,0.00847399712977517,0.0163102841803203,,0,0,0,
13,0.335277777777778,8,19.6871794871795,2,0.0667491534253712,0.0638351119398054,,0,0.125,0.00399262899262899,
13,0.1125,7,18.6583333333333,1,0.000971412711629198,0.000809960196241785,,0,0,0,
13,0.104722222222222,7,18.6583333333333,0,0,0,,0,0,0,
13,0.209444444444444,8,19.1628205128205,2,0.0320465645279989,0.0263339548538103,,0,0.125,0.0692934782608696,
13,0.169444444444444,8,19.0461538461538,1,0.019520732364028,0.0157502545589189,,0,0,0,
13,0.239166666666667,8,19.225,2,0.0406711409395973,0.029520900279023,,0,0,0,
13,0.170555555555556,8,18.825,1,0.0180490772662746,0.0206682006320995,,0,0,0,
13,0.144166666666667,8,18.7680555555556,1,0.00936736356231333,0.00661853188929001,,0,0,0,
13,0.142777777777778,8,18.924358974359,2,0.01083937402615,0.0116981394057206,,0,0.125,0.00470430107526882,
13,0.468888888888889,8,20.1102564102564,2,0.102320540609461,0.11524378148927,,0,0.125,0.0745341614906832,
13,0.308055555555556,8,19.2194444444444,2,0.0631227058206607,0.0822086457465522,,0,0,0,
13,0.164444444444444,8,18.9641025641026,2,0.0152109248242293,0.0104567514314807,,0,0,0,
13,0.124166666666667,8,18.7680555555556,1,0.0070980070980071,0.00380350696235173,,0,0.125,0.0788834951456311,
13,0.106666666666667,8,18.6583333333333,1,0.000954133442377155,0.000666481532907526,,0,0,0,
13,0.211111111111111,8,18.8152777777778,1,0.0270668631917459,0.0360871980005553,,0,0,0,
13,0.135555555555556,8,18.7097222222222,1,0.00734385724090597,0.00421873553642506,,0,0.125,0.0438888888888889,
13,0.1325,8,18.7722222222222,1,0.00747907232057088,0.00510969175229102,,0,0,0,
13,0.217222222222222,8,19.2602564102564,3,0.0381415163416095,0.0243040954232291,,0,0.125,0.0594059405940594,
13,0.304722222222222,9,19.5782051282051,2,0.0650906947809574,0.0654001533965434,,0,0,0,
13,0.143611111111111,8,18.9128205128205,1,0.00888015184381779,0.00627338966689146,,0,0.125,0.0297619047619048,
13,0.126944444444444,7,18.5924242424242,1,0.00772092370323577,0.0089789873183375,,0,0,0,
13,0.158611111111111,8,18.8777777777778,1,0.0157777627941474,0.0148404543711403,,0,0.125,0.0922619047619048,
13,0.170555555555556,8,19.1128205128205,2,0.0231419372149182,0.0146817682918766,,0,0.25,0.104562737642586,
13,0.111944444444444,7,18.6583333333333,1,0.00048436202601716,0.000323984078496714,,0,0,0,
13,0.128888888888889,8,18.9,2,0.0128883462216796,0.0108005712698854,,0,0,0,
13,0.205555555555556,7,18.4727272727273,2,0.0344452008168822,0.054059057669166,,0,0,0,
13,0.120277777777778,7,18.7097222222222,1,0.0068259385665529,0.00500257864878803,,0,0.142857142857143,0.0237446477228494,
13,0.208888888888889,8,19.0513888888889,1,0.0309849749582638,0.0381441663030109,,0,0,0,
13,0.158611111111111,8,18.9615384615385,1,0.0137254901960784,0.019670461908729,,0,0,0,
13,0.358055555555556,8,19.9384615384615,2,0.0757458847736626,0.0690621652715522,,0,0.125,0.0422077922077922,
13,0.165277777777778,7,18.8291666666667,2,0.0212506767731456,0.0295288345829862,,0,0,0,
13,0.172222222222222,8,19.1192307692308,2,0.0264199020988399,0.028654077571045,,0,0,0,
13,0.158333333333333,7,18.7583333333333,1,0.0137315482320632,0.0117659115854062,,0,0.142857142857143,0.046713742531233,
